year,category,amount
2008,General public services,36856000000
2014,General public services,51540000000
2007,General public services,35166000000
2009,General public services,40708000000
2012,General public services,49451000000
2005,General public services,29441000000
2010,General public services,46973000000
2006,General public services,32408000000
2013,General public services,51376000000
2011,General public services,48290000000
2008,Defence,36856000000
2014,Defence,51540000000
2007,Defence,35166000000
2009,Defence,40708000000
2012,Defence,49451000000
2005,Defence,29441000000
2010,Defence,46973000000
2006,Defence,32408000000
2013,Defence,51376000000
2011,Defence,48290000000
2008,Public order and safety,36856000000
2014,Public order and safety,51540000000
2007,Public order and safety,35166000000
2009,Public order and safety,40708000000
2012,Public order and safety,49451000000
2005,Public order and safety,29441000000
2010,Public order and safety,46973000000
2006,Public order and safety,32408000000
2013,Public order and safety,51376000000
2011,Public order and safety,48290000000
2008,Education,36856000000
2014,Education,51540000000
2007,Education,35166000000
2009,Education,40708000000
2012,Education,49451000000
2005,Education,29441000000
2010,Education,46973000000
2006,Education,32408000000
2013,Education,51376000000
2011,Education,48290000000
2008,Health,36856000000
2014,Health,51540000000
2007,Health,35166000000
2009,Health,40708000000
2012,Health,49451000000
2005,Health,29441000000
2010,Health,46973000000
2006,Health,32408000000
2013,Health,51376000000
2011,Health,48290000000
2008,Social security and welfare,36856000000
2014,Social security and welfare,51540000000
2007,Social security and welfare,35166000000
2009,Social security and welfare,40708000000
2012,Social security and welfare,49451000000
2005,Social security and welfare,29441000000
2010,Social security and welfare,46973000000
2006,Social security and welfare,32408000000
2013,Social security and welfare,51376000000
2011,Social security and welfare,48290000000
2008,Housing and community amenities,36856000000
2014,Housing and community amenities,51540000000
2007,Housing and community amenities,35166000000
2009,Housing and community amenities,40708000000
2012,Housing and community amenities,49451000000
2005,Housing and community amenities,29441000000
2010,Housing and community amenities,46973000000
2006,Housing and community amenities,32408000000
2013,Housing and community amenities,51376000000
2011,Housing and community amenities,48290000000
2008,Recreation and culture,36856000000
2014,Recreation and culture,51540000000
2007,Recreation and culture,35166000000
2009,Recreation and culture,40708000000
2012,Recreation and culture,49451000000
2005,Recreation and culture,29441000000
2010,Recreation and culture,46973000000
2006,Recreation and culture,32408000000
2013,Recreation and culture,51376000000
2011,Recreation and culture,48290000000
2008,Fuel and energy,36856000000
2014,Fuel and energy,51540000000
2007,Fuel and energy,35166000000
2009,Fuel and energy,40708000000
2012,Fuel and energy,49451000000
2005,Fuel and energy,29441000000
2010,Fuel and energy,46973000000
2006,Fuel and energy,32408000000
2013,Fuel and energy,51376000000
2011,Fuel and energy,48290000000
2008,"Agriculture, forestry and fishing",36856000000
2014,"Agriculture, forestry and fishing",51540000000
2007,"Agriculture, forestry and fishing",35166000000
2009,"Agriculture, forestry and fishing",40708000000
2012,"Agriculture, forestry and fishing",49451000000
2005,"Agriculture, forestry and fishing",29441000000
2010,"Agriculture, forestry and fishing",46973000000
2006,"Agriculture, forestry and fishing",32408000000
2013,"Agriculture, forestry and fishing",51376000000
2011,"Agriculture, forestry and fishing",48290000000
2008,"Mining, manufacturing and construction",36856000000
2014,"Mining, manufacturing and construction",51540000000
2007,"Mining, manufacturing and construction",35166000000
2009,"Mining, manufacturing and construction",40708000000
2012,"Mining, manufacturing and construction",49451000000
2005,"Mining, manufacturing and construction",29441000000
2010,"Mining, manufacturing and construction",46973000000
2006,"Mining, manufacturing and construction",32408000000
2013,"Mining, manufacturing and construction",51376000000
2011,"Mining, manufacturing and construction",48290000000
2008,Transport and communications,36856000000
2014,Transport and communications,51540000000
2007,Transport and communications,35166000000
2009,Transport and communications,40708000000
2012,Transport and communications,49451000000
2005,Transport and communications,29441000000
2010,Transport and communications,46973000000
2006,Transport and communications,32408000000
2013,Transport and communications,51376000000
2011,Transport and communications,48290000000
2008,Other economic affairs,36856000000
2014,Other economic affairs,51540000000
2007,Other economic affairs,35166000000
2009,Other economic affairs,40708000000
2012,Other economic affairs,49451000000
2005,Other economic affairs,29441000000
2010,Other economic affairs,46973000000
2006,Other economic affairs,32408000000
2013,Other economic affairs,51376000000
2011,Other economic affairs,48290000000
2008,Nominal interest on superannuation,36856000000
2014,Nominal interest on superannuation,51540000000
2007,Nominal interest on superannuation,35166000000
2009,Nominal interest on superannuation,40708000000
2012,Nominal interest on superannuation,49451000000
2005,Nominal interest on superannuation,29441000000
2010,Nominal interest on superannuation,46973000000
2006,Nominal interest on superannuation,32408000000
2013,Nominal interest on superannuation,51376000000
2011,Nominal interest on superannuation,48290000000
2008,Public debt transactions,36856000000
2014,Public debt transactions,51540000000
2007,Public debt transactions,35166000000
2009,Public debt transactions,40708000000
2012,Public debt transactions,49451000000
2005,Public debt transactions,29441000000
2010,Public debt transactions,46973000000
2006,Public debt transactions,32408000000
2013,Public debt transactions,51376000000
2011,Public debt transactions,48290000000
2008,Other purposes,36856000000
2014,Other purposes,51540000000
2007,Other purposes,35166000000
2009,Other purposes,40708000000
2012,Other purposes,49451000000
2005,Other purposes,29441000000
2010,Other purposes,46973000000
2006,Other purposes,32408000000
2013,Other purposes,51376000000
2011,Other purposes,48290000000
2008,Net acquisition of non-financial assets,36856000000
2014,Net acquisition of non-financial assets,51540000000
2007,Net acquisition of non-financial assets,35166000000
2009,Net acquisition of non-financial assets,40708000000
2012,Net acquisition of non-financial assets,49451000000
2005,Net acquisition of non-financial assets,29441000000
2010,Net acquisition of non-financial assets,46973000000
2006,Net acquisition of non-financial assets,32408000000
2013,Net acquisition of non-financial assets,51376000000
2011,Net acquisition of non-financial assets,48290000000
