year,category,amount
2008,Deposits held,29125000000
2014,Deposits held,70908000000
2007,Deposits held,25581000000
2009,Deposits held,40903000000
2012,Deposits held,65911000000
2005,Deposits held,23772000000
2010,Deposits held,46600000000
2006,Deposits held,26854000000
2013,Deposits held,68857000000
2011,Deposits held,51171000000
2008,Advances received,29125000000
2014,Advances received,70908000000
2007,Advances received,25581000000
2009,Advances received,40903000000
2012,Advances received,65911000000
2005,Advances received,23772000000
2010,Advances received,46600000000
2006,Advances received,26854000000
2013,Advances received,68857000000
2011,Advances received,51171000000
2008,Borrowing,29125000000
2014,Borrowing,70908000000
2007,Borrowing,25581000000
2009,Borrowing,40903000000
2012,Borrowing,65911000000
2005,Borrowing,23772000000
2010,Borrowing,46600000000
2006,Borrowing,26854000000
2013,Borrowing,68857000000
2011,Borrowing,51171000000
2008,Unfunded superannuation liability and other employee entitlements,29125000000
2014,Unfunded superannuation liability and other employee entitlements,70908000000
2007,Unfunded superannuation liability and other employee entitlements,25581000000
2009,Unfunded superannuation liability and other employee entitlements,40903000000
2012,Unfunded superannuation liability and other employee entitlements,65911000000
2005,Unfunded superannuation liability and other employee entitlements,23772000000
2010,Unfunded superannuation liability and other employee entitlements,46600000000
2006,Unfunded superannuation liability and other employee entitlements,26854000000
2013,Unfunded superannuation liability and other employee entitlements,68857000000
2011,Unfunded superannuation liability and other employee entitlements,51171000000
2008,Other provisions,29125000000
2014,Other provisions,70908000000
2007,Other provisions,25581000000
2009,Other provisions,40903000000
2012,Other provisions,65911000000
2005,Other provisions,23772000000
2010,Other provisions,46600000000
2006,Other provisions,26854000000
2013,Other provisions,68857000000
2011,Other provisions,51171000000
2008,Other non-equity liabilities,29125000000
2014,Other non-equity liabilities,70908000000
2007,Other non-equity liabilities,25581000000
2009,Other non-equity liabilities,40903000000
2012,Other non-equity liabilities,65911000000
2005,Other non-equity liabilities,23772000000
2010,Other non-equity liabilities,46600000000
2006,Other non-equity liabilities,26854000000
2013,Other non-equity liabilities,68857000000
2011,Other non-equity liabilities,51171000000
