year,category,amount
2008,Taxation revenue,37342000000
2014,Taxation revenue,52644000000
2007,Taxation revenue,35828000000
2009,Taxation revenue,39207000000
2012,Taxation revenue,47359000000
2005,Taxation revenue,29826000000
2010,Taxation revenue,44537000000
2006,Taxation revenue,31957000000
2013,Taxation revenue,48672000000
2011,Taxation revenue,46042000000
2008,Current grants and subsidies,37342000000
2014,Current grants and subsidies,52644000000
2007,Current grants and subsidies,35828000000
2009,Current grants and subsidies,39207000000
2012,Current grants and subsidies,47359000000
2005,Current grants and subsidies,29826000000
2010,Current grants and subsidies,44537000000
2006,Current grants and subsidies,31957000000
2013,Current grants and subsidies,48672000000
2011,Current grants and subsidies,46042000000
2008,Sales of goods and services,37342000000
2014,Sales of goods and services,52644000000
2007,Sales of goods and services,35828000000
2009,Sales of goods and services,39207000000
2012,Sales of goods and services,47359000000
2005,Sales of goods and services,29826000000
2010,Sales of goods and services,44537000000
2006,Sales of goods and services,31957000000
2013,Sales of goods and services,48672000000
2011,Sales of goods and services,46042000000
2008,Interest income,37342000000
2014,Interest income,52644000000
2007,Interest income,35828000000
2009,Interest income,39207000000
2012,Interest income,47359000000
2005,Interest income,29826000000
2010,Interest income,44537000000
2006,Interest income,31957000000
2013,Interest income,48672000000
2011,Interest income,46042000000
2008,Other revenue,37342000000
2014,Other revenue,52644000000
2007,Other revenue,35828000000
2009,Other revenue,39207000000
2012,Other revenue,47359000000
2005,Other revenue,29826000000
2010,Other revenue,44537000000
2006,Other revenue,31957000000
2013,Other revenue,48672000000
2011,Other revenue,46042000000
