year,category,amount
2008,Financial assets,103852000000
2014,Financial assets,142901000000
2007,Financial assets,85957000000
2009,Financial assets,120920000000
2012,Financial assets,135931000000
2005,Financial assets,60144000000
2010,Financial assets,125136000000
2006,Financial assets,68057000000
2013,Financial assets,138855000000
2011,Financial assets,130935000000
2008,Non-financial assets,103852000000
2014,Non-financial assets,142901000000
2007,Non-financial assets,85957000000
2009,Non-financial assets,120920000000
2012,Non-financial assets,135931000000
2005,Non-financial assets,60144000000
2010,Non-financial assets,125136000000
2006,Non-financial assets,68057000000
2013,Non-financial assets,138855000000
2011,Non-financial assets,130935000000
