year,category,amount
2008,Deposits held,10954000000
2014,Deposits held,25723000000
2007,Deposits held,10234000000
2009,Deposits held,13460000000
2012,Deposits held,24099000000
2005,Deposits held,9926000000
2010,Deposits held,16946000000
2006,Deposits held,10111000000
2013,Deposits held,25513000000
2011,Deposits held,18388000000
2008,Advances received,10954000000
2014,Advances received,25723000000
2007,Advances received,10234000000
2009,Advances received,13460000000
2012,Advances received,24099000000
2005,Advances received,9926000000
2010,Advances received,16946000000
2006,Advances received,10111000000
2013,Advances received,25513000000
2011,Advances received,18388000000
2008,Borrowing,10954000000
2014,Borrowing,25723000000
2007,Borrowing,10234000000
2009,Borrowing,13460000000
2012,Borrowing,24099000000
2005,Borrowing,9926000000
2010,Borrowing,16946000000
2006,Borrowing,10111000000
2013,Borrowing,25513000000
2011,Borrowing,18388000000
2008,Unfunded superannuation liability and other employee entitlements,10954000000
2014,Unfunded superannuation liability and other employee entitlements,25723000000
2007,Unfunded superannuation liability and other employee entitlements,10234000000
2009,Unfunded superannuation liability and other employee entitlements,13460000000
2012,Unfunded superannuation liability and other employee entitlements,24099000000
2005,Unfunded superannuation liability and other employee entitlements,9926000000
2010,Unfunded superannuation liability and other employee entitlements,16946000000
2006,Unfunded superannuation liability and other employee entitlements,10111000000
2013,Unfunded superannuation liability and other employee entitlements,25513000000
2011,Unfunded superannuation liability and other employee entitlements,18388000000
2008,Other provisions,10954000000
2014,Other provisions,25723000000
2007,Other provisions,10234000000
2009,Other provisions,13460000000
2012,Other provisions,24099000000
2005,Other provisions,9926000000
2010,Other provisions,16946000000
2006,Other provisions,10111000000
2013,Other provisions,25513000000
2011,Other provisions,18388000000
2008,Other non-equity liabilities,10954000000
2014,Other non-equity liabilities,25723000000
2007,Other non-equity liabilities,10234000000
2009,Other non-equity liabilities,13460000000
2012,Other non-equity liabilities,24099000000
2005,Other non-equity liabilities,9926000000
2010,Other non-equity liabilities,16946000000
2006,Other non-equity liabilities,10111000000
2013,Other non-equity liabilities,25513000000
2011,Other non-equity liabilities,18388000000
