year,category,amount
2008,Taxation revenue,19282000000
2014,Taxation revenue,27685000000
2007,Taxation revenue,17451000000
2009,Taxation revenue,19400000000
2012,Taxation revenue,25094000000
2005,Taxation revenue,14222000000
2010,Taxation revenue,21914000000
2006,Taxation revenue,16207000000
2013,Taxation revenue,25469000000
2011,Taxation revenue,23669000000
2008,Current grants and subsidies,19282000000
2014,Current grants and subsidies,27685000000
2007,Current grants and subsidies,17451000000
2009,Current grants and subsidies,19400000000
2012,Current grants and subsidies,25094000000
2005,Current grants and subsidies,14222000000
2010,Current grants and subsidies,21914000000
2006,Current grants and subsidies,16207000000
2013,Current grants and subsidies,25469000000
2011,Current grants and subsidies,23669000000
2008,Sales of goods and services,19282000000
2014,Sales of goods and services,27685000000
2007,Sales of goods and services,17451000000
2009,Sales of goods and services,19400000000
2012,Sales of goods and services,25094000000
2005,Sales of goods and services,14222000000
2010,Sales of goods and services,21914000000
2006,Sales of goods and services,16207000000
2013,Sales of goods and services,25469000000
2011,Sales of goods and services,23669000000
2008,Interest income,19282000000
2014,Interest income,27685000000
2007,Interest income,17451000000
2009,Interest income,19400000000
2012,Interest income,25094000000
2005,Interest income,14222000000
2010,Interest income,21914000000
2006,Interest income,16207000000
2013,Interest income,25469000000
2011,Interest income,23669000000
2008,Other revenue,19282000000
2014,Other revenue,27685000000
2007,Other revenue,17451000000
2009,Other revenue,19400000000
2012,Other revenue,25094000000
2005,Other revenue,14222000000
2010,Other revenue,21914000000
2006,Other revenue,16207000000
2013,Other revenue,25469000000
2011,Other revenue,23669000000
