year,category,amount
2009,Cost of Goods Sold,47734800000
2012,Cost of Goods Sold,52946400000
2010,Cost of Goods Sold,49656299999
2011,Cost of Goods Sold,52002599999
2009,"Selling, General and Admin expenses",47734800000
2012,"Selling, General and Admin expenses",52946400000
2010,"Selling, General and Admin expenses",49656299999
2011,"Selling, General and Admin expenses",52002599999
2009,Rent,47734800000
2012,Rent,52946400000
2010,Rent,49656299999
2011,Rent,52002599999
2009,Depreciation and amortisation,47734800000
2012,Depreciation and amortisation,52946400000
2010,Depreciation and amortisation,49656299999
2011,Depreciation and amortisation,52002599999
2009,Net financing cost,47734800000
2012,Net financing cost,52946400000
2010,Net financing cost,49656299999
2011,Net financing cost,52002599999
2009,Woolworths Notes Interest,47734800000
2012,Woolworths Notes Interest,52946400000
2010,Woolworths Notes Interest,49656299999
2011,Woolworths Notes Interest,52002599999
2009,Taxation,47734800000
2012,Taxation,52946400000
2010,Taxation,49656299999
2011,Taxation,52002599999
