year,category,amount
2009,Australian Food and Liquor,49594800000
2012,Australian Food and Liquor,56699799999
2010,Australian Food and Liquor,51694300000
2011,Australian Food and Liquor,54142900000
2009,Supermarkets NZ,49594800000
2012,Supermarkets NZ,56699799999
2010,Supermarkets NZ,51694300000
2011,Supermarkets NZ,54142900000
2009,Petrol,49594800000
2012,Petrol,56699799999
2010,Petrol,51694300000
2011,Petrol,54142900000
2009,BIG W,49594800000
2012,BIG W,56699799999
2010,BIG W,51694300000
2011,BIG W,54142900000
2009,Consumer Electronics,49594800000
2012,Consumer Electronics,56699799999
2010,Consumer Electronics,51694300000
2011,Consumer Electronics,54142900000
2009,Hotels,49594800000
2012,Hotels,56699799999
2010,Hotels,51694300000
2011,Hotels,54142900000
2009,Unallocated,49594800000
2012,Unallocated,56699799999
2010,Unallocated,51694300000
2011,Unallocated,54142900000
